Date,Tweet
2022-09-22 13:37:33+00:00,"Big Tech is dramatically cutting down on hiring with the exception of Apple. Total job openings are down 60% since the start of the yr for $MSFT, down 40% for $GOOG, and down 47% for $META. For $AAPL, total job openings are down just 10%. https://t.co/PQWMlG0NYw"
2022-09-22 07:14:46+00:00,"⚠️BREAKING:

*GOOGLE-PARENT ALPHABET STOCK FALLS TO LOWEST LEVEL SINCE FEBRUARY 2021 

$GOOG $GOOGL https://t.co/QN4yseJdv9"
2022-09-21 23:37:57+00:00,"The last time we had a recession/slowdown, companies like $V and $GOOG and $FB were penetrating whitespace or had other secular drivers giving them idiosyncratic upside relative to their markets. 

Today, not so much."
2022-09-21 23:33:00+00:00,"After today's news, some of the big companies I'm interested in and invested in went down to their 52-week lows (MSFT, GOOG).

I know we can't time the market and all the buys now are below my average so it's a good deal anyway.

#MSFT #GOOG #STOCKS"
2022-09-21 23:27:17+00:00,"Yo @cz_binance how high is high if  $BNB had $MSFT, $GOOG, $V current MC using https://t.co/KYzXL3PT6y https://t.co/n4n4DIdvE7"
2022-09-21 18:05:12+00:00,$GOOGL $GOOG under $100! 🤯 https://t.co/kHK9tyzahz
2022-09-21 16:59:33+00:00,"antigravitY
24h auction. 1xtz start price.
Goog night! https://t.co/4aB0mTIQVh"
2022-09-21 15:46:50+00:00,$GOOG TONS of Call LEAPS Hitting The Tape https://t.co/b5kdyovP1D
2022-09-21 08:50:14+00:00,happy born day rice mam🎂 @ARiceIsGood hope have a goog day! ill finish this when I no busy anymore https://t.co/I6pPsRcCoI
2022-09-21 03:01:45+00:00,"Employee count. 
Let this sink in:

1. $PLTR 3k+  
2. $MSFT 221k+ 
3. $IBM 345k+
4. $AWS 40k+
5. $GOOG 135k+ https://t.co/ey8WDwxZBQ"
2022-09-20 21:11:32+00:00,"$PLTR better than $MSFT $AMZN $GOOG in AI Software Sales by @IDC ranking. 

Little @PalantirTech ahead of giants. https://t.co/4xgGGGoma9"
2022-09-20 19:53:17+00:00,"Picked up:

20 shares of $GOOG.
10 shares of $MSFT

Idgaf. Don't @ me. 😤"
2022-09-20 18:54:04+00:00,"YTD returns 🩸

$AMZN -27%
$MSFT -29%
$GOOG -30%
$CRM -40%
$ISRG -45%
$WIX -48%
$IDXX -49%
$ADBE -49%
$NET -54%
$NVDA -55%
$META -57%
$SPOT -58%
$ZM -58%
$NFLX -60%
$MTCH -61%
$SQ -62%
$ASAN -67%
$ROKU -70%
$FVRR -72%
$TWLO -72%
$SE -74%
$U -75%
$SNAP -76%
$SHOP -78%
$CVNA -86%"
2022-09-20 18:34:28+00:00,Goog evening... #3dcharacter #lowpoly #gamecharacter #marmorset https://t.co/LA7Bz2bgTp
2022-09-20 17:40:00+00:00,Who else is ready to see $GOOG $GOOGL under $100?!
2022-09-20 17:32:50+00:00,$GOOG at 52 week lows - getting to pretty bargin basement levels imo
2022-09-20 16:43:36+00:00,Sell tech stocks . $goog $aapl $amzn https://t.co/UjV1efORMG
2022-09-20 12:52:06+00:00,"Lee Cooperman on CNBC:

“You can buy a class company like Google today at less than 17x next year’s earnings. Relative to interest rates, that’s cheap.”

$GOOG"
2022-09-19 17:27:39+00:00,"2022 Returns:

$TWTR: -4%
$TSLA: -13%
$AAPL: -14%
$AMZN: -26%
$MSFT: -27%
$GOOG: -29%
$CRM: -40%
$META: -57%
$SPOT: -58%
$ZM: -58%
$SQ: -60%
$NFLX: -61%
$SNAP: -77%
$SHOP: -77%
My Mike Tyson NFT: -99.8%

Who could have seen this coming?"
2022-09-19 17:14:10+00:00,"2022 Returns
$TWTR: -4%
$TSLA: -13%
$AAPL: -14%
$GME: -23%
$AMZN: -26%
$MSFT: -27%
$GOOG: -29%
$TEAM: -37%
$CRM: -40%
$SNOW: -46%
$AMD: -47%
$ADBE: -48%
$PYPL: -50%
$ETSY: -50%
$MRNA: -51%
$NVDA: -55%
$META: -57%
$SPOT: -58%
$ZM: -58%
$SQ: -60%
$NFLX: -61%
$SNAP: -77%
$SHOP:-77%"
2022-09-19 09:00:02+00:00,"The crazy thing is that people had no problem buying these companies last year when many of them were very overvalued. Now, the prices are far cheaper, yet many people are too afraid to buy the same companies that they wanted last year at far higher prices.

#aapl #goog #stocks https://t.co/m1uLKEikV7"
2022-09-19 06:30:23+00:00,"Since MicroStrategy adopted the #Bitcoin Standard:

$MSTR +67%
$BTC +65%
$GOOG +39%
$AAPL +34%
$ORCL +25%
$MSFT +18%
$SP 500 +15%
$IBM +5%
$NASDAQ +4%  $GOLD -17%, $BOND -18%, $AMZN -22%, $CRM -23%, $SILVER -32%, $META -44%, $SAP -47%, $NFLX -50%

Source : @saylor"
2022-09-19 01:39:49+00:00,"9/19/22 Options Trading Watchlist 🤑

$GOOG 107/108c &gt; $103.4 
$SHOP 31p &lt; $32.55
 
Markets have calibrated in advance of this week's volatility. Will monitor AM action then adjust as is needed. Two names on deck for now. Flow via Unusual Whales

#optionstading #stocks https://t.co/rxz3au7Rhz"
2022-09-19 00:28:44+00:00,"Goog morning 
https://t.co/Z8Qh5vmDxO"
2022-09-18 22:12:05+00:00,"#Sundays1Thing 🏁

Understand where relative strength + weakness is located 📉📈

Short Focus: $AAPL $MSFT $GOOG 

Long Focus: Growth $DKNG $TSLA https://t.co/UFTGF8gTi9"
2022-09-18 19:49:27+00:00,"*TOP 10 MOST SHORTED S&amp;P 500 STOCKS:

1) APPLE $AAPL
2) TESLA $TSLA 
3) MICROSOFT $MSFT
4) GOOGLE $GOOGL $GOOG
5) AMAZON $AMZN 
6) VISA $V
7) 3M $MMM
8) ALIBABA $BABA
9) OCCIDENTAL PETRO $OXY
10) FACEBOOK $META https://t.co/iAcScQHU33"
2022-09-18 15:42:28+00:00,"Share of US TV Time (8/2022).

• 35% Streaming 
• 35% Cable
• 22% Broadcast
• 9% Other (including gaming)

Streaming breakdown (35% of total):

• 7.6% Netflix $NFLX
• 7.6% YouTube $GOOG
• 3.7% Hulu
• 2.9% Prime Video $AMZN
• 1.9% Disney+ $DIS
• 11.5% Other Streaming https://t.co/YrETUpj64i"
2022-09-17 23:35:53+00:00,"What is a stock code?
An item of stock on a stock quotation scheme. Each unique code is made up of either numbers and letters or both. Ex, the owners of Google listed as GOOG &amp; Apple is listed as AAPL on Nasdaq. The code is used to show which company has traded shares."
2022-09-17 17:40:42+00:00,"Since @MicroStrategy adopted the #Bitcoin Standard:

MSTR +67%, BTC +65%, GOOG +39%, AAPL +34%, ORCL +25%, MSFT +18%, S&amp;P 500 +15%, IBM +5%, NASDAQ +4%, GOLD -17%, BOND -18%, AMZN -22%, CRM -23%, SILVER -32%, META -44%, SAP -47%, NFLX -50%"
2022-09-16 18:19:14+00:00,"""70% of the top 100 unicorns run on Google Cloud"" $GOOG"
2022-09-16 16:42:59+00:00,"Today I bought $GOOG, more $SOFI, and tripled $META."
2022-09-16 15:33:27+00:00,YouTube is gearing up to give Shorts creators a cut of ad revenue - Tech Crunch $GOOGL $GOOG
2022-09-15 17:47:40+00:00,"TOP 10 MOST SHORTED STOCKS IN THE WORLD ( $ VALUE)

1) APPLE $AAPL
2) TESLA $TSLA 
3) MICROSOFT $MSFT
4) GOOGLE $GOOGL $GOOG
5) AMAZON $AMZN 
6) VISA $V
7) 3 M $MMM
8) ALIBABA $BABA
9) OCCIDENTAL PETRO $OXY
10) FACEBOOK $META 

TOTAL SHORT INTEREST OF THE LIST -&gt; $95 BILLION USD"
2022-09-15 00:46:00+00:00,"$GOOG Showing bullish Pinbar off Daily support dating back to may.
 Lesson: The bullish pin bar indicates the reversal of the bearish trend. A good pin bar forms at the end of the bearish trend (oversold condition) and shows a clear price rejection from a specific support level. https://t.co/WwmZrmmTg3"
2022-09-14 16:19:05+00:00,goog morbin https://t.co/TVzHd0Ae5R
2022-09-14 12:00:18+00:00,"Goog time 🐯🦁✨

@zee_pruk @MMaxmaxxxx 
#ZeePruk #ไดโนกรธัสส์ 
#ZeeMeShowConCert 
#PaniZNphoto https://t.co/Qn6qazoWue"
2022-09-14 05:04:16+00:00,"#Arcadiart
Goog night https://t.co/1k4InbiCKq"
2022-09-13 19:35:17+00:00,$GOOG Alphabet's Income Statement. https://t.co/CiDZHrXres
2022-09-13 19:26:01+00:00,Why don't you own $GOOG?
2022-09-13 15:57:34+00:00,"On an operating cashflow basis this is one of the cheapest $GOOG $GOOGL has ever been. Its been 12x cashflow only twice before, its currently about 14x"
2022-09-13 15:08:59+00:00,"I have been bear 🐻 on $goog off 135.. each and every bump in stock has been sold .. 

It’s testing a key level 105.. 

If gone, the light will be snuffed out of bull. 

$googl"
2022-09-12 14:14:35+00:00,"$AMZN will spend $15B on streaming content in ‘22 vs $14B at $NFLX.

$GOOG has largest video platform on the planet but only pays for content in form of rev share with creators (ie, all success based spend).

Streaming is an endless arms race getting more competitive by the year. https://t.co/YNNbnsf00K"
2022-09-12 01:30:00+00:00,"Here’s a look at which stocks had the most insider selling in the past month:

$ZI $HOOD $TSLA $GOOG $AMZN $PLTR $STEM $FISV $AMKR $LCID $LC $BIGC $ZEN $OPEN $INDI https://t.co/rCsmeWExrQ"
2022-09-12 00:08:56+00:00,"⚡️Weekly Watchlist⚡️

✅ $SPY 
📈Calls Over 408/410
📉Puts Under 404/400

🚗 $TSLA
📈Calls Over 300
📉Puts Under 296

💻 $GOOG
📈Calls Over 112.25
📉Puts Under 110

🎥 $META
📈Calls Over 171
📉P Under 167

🚨 250 ❤️ for my FAV setup ✅

💰TURN 🔔 ON + BE READY💸"
2022-09-11 19:36:07+00:00,"All charts &amp; trade ideas posted for the weekend.

Please check my pinned tweet &amp; have a great Sunday! 

Reviewed:
$SPY
$QQQ
$AAPL
$AMZN
$META
$NFLX
#Bitcoin  
#Ethereum  
$GOOG
$NVDA
$TSLA
$CGC
$COIN
$AMD
$RUN
$SNOW"
2022-09-10 22:37:27+00:00,"I hope today's charts &amp; ideas were helpful!

Have a great night ✌️

Reviewed:
$SPY
$QQQ
$AAPL
$AMZN
$META
$NFLX
#Bitcoin 
#Ethereum  
$GOOG
$NVDA
$TSLA
$CGC
$COIN"
2022-09-09 20:57:58+00:00,"Still buying $GOOG hard. I think this bet will pay off big sometime in 2024. 

I'm guessing the income multiple will likely stay below average while rates remain high in 2022-23.

Revenue still growing double digits on a constant currency basis, with super tough comps from PY"
2022-09-08 11:14:18+00:00,"Many are asking my current positions. Here you go. I know, I'm heavy tech and FAANG

$TSLA
10,500 @ 293
3,000 @ 281
1,500 @ 275

1000 $NVDA @ 166 (ouch)
1,000 $AMZN @ 133.13
1,000 $GOOG @ 112.62
1,000 $META @ 158.28
500 $QQQ @ 293.33"
2022-09-08 00:47:51+00:00,"⚡️Watchlist for 9/8/22⚡️

✅ $SPY 
📈Calls Over 400
📉Puts Under 393

💻 $NVDA
📈Calls Over 140
📉Puts Under 132.70 

✨ $GOOG 
📈Calls over 112
📉Puts Under 110

🚗 $TSLA 
📈C &gt; 285
📉P &lt; 275

🖨️ $BA 
📈C &gt; 157
📉P &lt; 155

💰TURN 🔔 ON + BE READY💸 

🔥WE WILL BANK TOMORROW!!"
2022-09-07 03:19:57+00:00,"Charts posted for tonight ✌️

Reviewed:
$BTC
$TSLA
$AAPL
$MSFT
$NIO
$AMZN
$META
$GOOG
$ARKK
$SPY
$QQQ"
2022-09-07 03:13:32+00:00,$GOOG #GOOG Make or break time. https://t.co/DBfbUmCZTq
2022-09-07 00:42:44+00:00,"2022 Returns
$TWTR: -11%
$AAPL: -13%
$TSLA: -22%
$MSFT: -24%
$AMZN: -24%
$GOOG: -26%
$GME: -32%
$ADBE: -35%
$TEAM: -40%
$CRM: -40%
$AMD: -45%
$MRNA: -49%
$SNOW: -50%
$PYPL: -51%
$META: -53%
$ETSY: -53%
$NVDA: -54%
$SPOT: -56%
$ZM: -56%
$SQ: -60%
$NFLX: -64%
$SNAP: -77%
$SHOP:-78%"
2022-09-06 19:41:15+00:00,goog nite :) https://t.co/keDwBp8nHY
2022-09-05 15:09:45+00:00,$GOOG #GOOG Pretty obvious bear flag. https://t.co/CUkS3jaam2
2022-09-05 12:37:32+00:00,"SUPERINVERSORES - SUPERINVESTORS
Las 10 acciones más poseídas

$GOOGL - Alphabet
$META - Meta Platforms
$GOOG - Alphabet Inc. CL C
$MSFT - Microsoft
$AMZN - Amazon
$V - Visa
$BRK.B - Berkshire Hathaway CL B
$MA - Mastercard
$WFC - Wells Fargo
$UNH - United Health Group"
2022-09-02 20:38:13+00:00,"Friday Adds For Future Income ✅

3 shares $VZ at $41.18
2 shares $LYB $80.75
1 share $MDT $86.96
8 shares $CMCSA $35.66 (new position)
2 shares $INTC $31.16
2 shares $SCHD $71.81
2 shares $PNR  $43.78
1 share $SWK $85.50 
2 shares $GOOG $108.15

What did you buy today?"
2022-09-02 01:18:12+00:00,$GOOG #GOOG Have seen some very strong moves to the upside off this zone over the past 4 months. https://t.co/vkJSlltaxO
2022-09-02 01:06:55+00:00,Goog Morning Guys !❤️🥰😘 https://t.co/Sl3f7JdpIC
2022-09-01 03:34:51+00:00,"2022 Returns
$TWTR: -10%
$AAPL: -11%
$MSFT: -22%
$TSLA: -22%
$GME: -23%
$AMZN: -24%
$GOOG: -25%
$ADBE: -34%
$TEAM: -35%
$CRM: -39%
$AMD: -41%
$SNOW: -47%
$MRNA: -48%
$NVDA: -49%
$PYPL: -50%
$META: -52%
$ETSY: -52%
$SPOT: -54%
$ZM: -56%
$SQ: -57%
$NFLX: -63%
$SNAP: -77%
$SHOP:-77%"
2022-08-31 23:36:13+00:00,Goog morning! Happy 1st of September. Finally it's jwae's month :') please be a good one 🤍 https://t.co/bQeVFuJl4F
2022-08-31 15:22:45+00:00,"See how happy 😃 ad businesses today are just because $snap cutting 20% workforce and it’s putting floor in S&amp;P500 

If all companies in S&amp;P500 cut 20% we may even trade 6000 

$goog $meta $msft"
2022-08-31 13:13:56+00:00,"GOOG DAY SOONNNN
https://t.co/G8nyGuAG8O"
2022-08-30 21:41:03+00:00,"Another 🟥 Day &amp; More Future Income Added ✅

2 Shares $MDT at $87.25
2 Shares $INTC at $32.37
1 Share $SCHD at $73.00
1 Share $SWK at $89.81
2 Shares $LYB at $83.51
3 Shares $VZ at $42.61
2 Shares $GOOG at $109.25
1 Share $JNJ at $162.15

What did you guys add today?"
2022-08-30 21:08:51+00:00,"Some levels for $SPY.. 

Plus my thoughts on $NVDA $TSLA $XOM $DLTR $GOOG 

Enjoy 😉  https://t.co/yevZnshj99"
2022-08-30 20:46:53+00:00,"Negative earnings forecast revisions for megacap tech have been brutal for the likes of $AMZN and $META. Even $GOOG joined the downward party recently.

And yet, see $AAPL. Incredible consistency. And people wonder why shares were almost back at highs… How long for, though? https://t.co/46kfh30xOc"
2022-08-30 14:59:00+00:00,"My recent bearish calls: 

$TSLA 303 ➡️ 280

$SPY 430 ➡️ 397

$NVDA 290 ➡️ 250 

$AMD 100 ➡️ 85

#btc 25K ➡️ 19K 

$GOOG 120 ➡️ 108 

$MSFT 280 ➡️ 260

Many more! 

See below 👇  https://t.co/KCoI0UaCwB"
2022-08-30 01:55:36+00:00,$GOOG #GOOG This is one to watch for a potentially large next leg down to fill the gap below if this bear flag breaks down. https://t.co/8LBB0wcgXl
2022-08-29 18:20:55+00:00,"Our investment thesis in $GOOG.

Everyone realizes Alphabet is one of the best businesses out there. However, valuation is at the lowest multiples ever.

We believe in the long-term competitive advantages and an incomparable future optionality. https://t.co/oi7FYtl8Nw"
2022-08-28 11:36:04+00:00,"Goog morning 🌞🦭💦
Happy and loving sunday 💙🤍❤️💗 https://t.co/elIGma8nbb"
2022-08-27 15:11:40+00:00,"1/ $SPY $IVV $VOO S&amp;P 500 ETF

All of these ETFs are the same, but offered by different brokerages

All have LOW expense ratios

Expense Ratio = A % you are charged by the ETF owner based on the amount you invest

Top Holdings:
$AAPL
$MSFT
$AMZN
$TSLA
$GOOGL
$GOOG
$BRK.A"
2022-08-26 20:09:41+00:00,"✅Good Day To Buy More Future Income✅
3 Shares $SCHD at $74.31
2 shares $PNR at 46.20
3 Shares $SWK at $90.15
3 Shares $GOOG at $111.78
5 Shares $VFC at $41.28
4 Shares $INTC at 33.42
4 Shares $VZ at $43.28

What did you guys grab today? ⏬"
2022-08-26 17:02:59+00:00,Bought some $GOOG at $112.62.
2022-08-25 11:04:05+00:00,My detailed analysis on $GOOG structure https://t.co/N3J9bjCjGL
2022-08-24 15:39:18+00:00,"4/ Last point: Many asking why TSLA won’t fall post-split, as AMZN and GOOGL did. It may. But one big diff: TSLA’s high retail base.

% shares held by instit’ns:
AAPL 62%
MSFT 75%
GOOG 85%
AMZN 70%
TSLA 46%
META 79%

Caveat: If Powell more hawkish than expected Fri, TSLA falls."
2022-08-23 09:29:00+00:00,goog
2022-08-23 03:33:59+00:00,Goog morning hustlers. Remember to pray for William Ruto.
2022-08-22 22:35:57+00:00,$GOOG Crazy story about Google Mail. https://t.co/xZ4CxdTuN7
2022-08-22 02:30:38+00:00,"guys @eaJPark actually a goog singer not trolling 

FeelsStrongMan Clap"
2022-08-21 14:30:49+00:00,"Fuentes de ingresos de los top five tech 💰🚀

$AAPL $GOOG $AMZN $META https://t.co/jt46wFEC8r"
2022-08-21 12:43:52+00:00,"This is doing WILD things to $SHOP EPS, which makes its P/E ratio all but useless

The same is true for $AMZN, $BRK, $GOOG, $ABMD, and more"
2022-08-21 10:59:09+00:00,Could be the biggest algo update to Goog in a decade. https://t.co/IunZyLE7HL https://t.co/2HM5FeDRGc
2022-08-20 18:21:12+00:00,"Projects that will make it through this year well:
@BoredApeYC 
@RTFKT 
@10KTFshop 
@ChimpersNFT 
@killabearsnft 
@quirkiesnft (because @jpgPapiii is a wild mofo and I can’t bet against a winner) 

What am I missing? 
By “make it” I mean become a market leader btw. Like AMZN GOOG"
2022-08-20 01:55:10+00:00,"GOOG MORNING IT'S #AlchemyOfSouls DAY!! 

they look so married 😭✊🏻🤍
https://t.co/SEJlhnxCV6"
2022-08-19 18:41:00+00:00,"1996: $AMZN has no chance vs. Borders
2006: Borders has no chance vs. $AMZN

1997: $NFLX has no chance vs. Blockbuster
2007: Blockbuster has no chance vs. $NFLX

1998: $GOOG has no chance vs. Yahoo
2008: Yahoo has no chance vs. $GOOG 

Disruption can happen fast"
2022-08-18 21:07:24+00:00,Goog exclusive! The Montecitos have renewed their wedding vows under the banner of the all seeing eye held up before their flying monkeys. Vampire Elvis presided &amp; the twilight ceremony was witnessed by their SS acolytes. Word is they will 2nd honeymoon in Chunga Changa. https://t.co/DARbp6Lb2a
2022-08-18 03:03:24+00:00,okay you get one more preview. goog night https://t.co/Lfz7N2gr5t
2022-08-18 01:04:48+00:00,"⚡️Watchlist for 8/18/21⚡️

✅ $SPY 
📈Calls Over 427.5
📉Puts Under 424.5
💻 $COIN
📈Calls Over 90
📉Puts Under 82
🚗 $TSLA
📈Calls Over 920
📉Puts Under 899
🖨️ $GOOG
📈Calls Over 122
📉Puts Under 119.50
✨ $GCT 
📈Preordered ALOT for IPO tmrw
👀 $BRSH Swing O/N

💰LETS BANK! 💸"
2022-08-17 05:45:36+00:00,How this DOJ suit ends with $GOOG https://t.co/uTPqVdIw3V
2022-08-16 15:52:03+00:00,"Still amazed that $LINK is such a hidden gem.
In 10 years people are gonna talk about it like they do now about $GOOG $AMZN $AAPL $MSFT and consorts."
2022-08-16 10:43:12+00:00,"Li Lu's 13F is out.

$META has been cut from the portfolio after only increasing the position in Q4 2021. Otherwise, sizeable additions to $GOOG / $GOOGL make up the rest of the activity. https://t.co/qBTd7IQdM8"
2022-08-16 04:05:32+00:00,"Top 5 Holdings of Hedge Funds Q2 2022.

Recurring themes:

• Hyperscalers $AMZN $GOOG $MSFT
• Digital payments $MA $V
• Software/Cloud $INTU $ZEN
• Healthcare: $MRNA $UNH
• Global apps $META $SE https://t.co/tKwlKiehPT"
2022-08-16 03:42:58+00:00,"Top 5 Buys of Hedge Funds in Q2 2022.

Recurring themes:

• Hyperscalers $AMZN $GOOG $MSFT
• Digital payments $MA $V
• Software/Cloud $CRM $INTU $SPLK
• Global apps $META https://t.co/P1snZmmwUZ"
2022-08-15 15:28:31+00:00,"Egerton Capital is privately owned $19B large cap equity L/S and LO manager.

Bottoms-up, highly concentrated, quality focused.

""Target quality companies at attractive valuations with significant upside potential""

Top 5 companies are 45% of portfolio: $CP $MSFT $CNI $GOOG $V https://t.co/n0PQoojaUM"
2022-08-14 14:44:56+00:00,"Cross sectional analysis is a great place to start when doing valuation. You can put any val metric on Y-Axis &amp; growth driver on X-Axis. Once you identify undervalued co's, you can start doing work on underlying biz (avoid secular decliners, etc) $META $INTC $XOM $PFE $GOOG $BAC https://t.co/LK7QaCcWxu"
2022-08-14 07:41:22+00:00,"@barcacentre Man played a goog game, also rescued us from 1 goal.  His passing was also Nice"
2022-08-14 00:49:29+00:00,"Google Cloud* vs AWS

$GOOG $AMZN

*Not to confuse with GCP since Google Cloud includes Google Workspace https://t.co/u5hrG4yDh6"
2022-08-13 12:15:00+00:00,"2022 Returns
$GME: +10%
$TWTR: +2%
$AAPL: -3%
$MSFT: -13%
$AMZN: -14%
$TSLA: -15%
$GOOG: -15%
$ADBE: -21%
$CRM: -25%
$TEAM: -26%
$AMD: -30%
$MRNA: -33%
$NVDA: -36%
$ZM: -40%
$ETSY: -45%
$SQ: -46%
$PYPL: -46%
$META: -46%
$SPOT: -47%
$SNOW: -50%
$NFLX: -59%
$SHOP: -70%
$SNAP: -75%"
2022-08-12 20:45:54+00:00,"Seth Klarman buys: $WBD, $AMZN , $EDU.. cuts : $INTC, $META, $GOOG https://t.co/Nb09GxXYA7"
2022-08-12 20:19:02+00:00,"Since @MicroStrategy adopted the #Bitcoin Standard:

MSTR +185%, BTC +103%, GOOG +64%, AAPL +53%, ORCL +44%, MSFT +40%, S&amp;P 500 +27%, NASDAQ +19%, IBM +10%, CRM -4%, AMZN -9%, GOLD -11%, BOND -14%, SILVER -28%, META -31%, SAP -40%, NFLX -48%"
2022-08-12 01:20:33+00:00,"don't forget to eat your meals regularly! OJO goog wants you to eat on time 
https://t.co/iZYSTJRC7l"
2022-08-11 22:32:38+00:00,If $goog ran like $tdg it’d be frightening to see how high margins were.
2022-08-11 15:12:43+00:00,"Esta semana Numantia ha comprado acciones de:

Alphabet Inc A $GOOG
Markel Corp $MKL
Black Stone Minerals LP $BSM
Fairfax Financial Holdings Ltd $FFH.TO
FRP Holdings $FRPH
Canadian Natural Resources Ltd $CNQ"
